rho,avg_periods
-5.585427135678391330e-01,1.577810000000000059e+02
-5.489949748743718771e-01,1.647359999999999900e+02
-5.394472361809045102e-01,1.734319999999999879e+02
-5.298994974874371433e-01,1.836409999999999911e+02
-5.203517587939698874e-01,1.903629999999999995e+02
-5.108040201005025205e-01,2.019219999999999970e+02
-5.012562814070351536e-01,2.155289999999999964e+02
-4.917085427135678422e-01,2.258789999999999907e+02
-4.821608040201005307e-01,2.354579999999999984e+02
-4.726130653266331638e-01,2.467949999999999875e+02
-4.630653266331658524e-01,2.602540000000000191e+02
-4.535175879396984855e-01,2.739479999999999791e+02
-4.439698492462311741e-01,2.924580000000000268e+02
-4.344221105527638072e-01,3.010550000000000068e+02
-4.248743718592964402e-01,3.106759999999999877e+02
-4.153266331658291843e-01,3.278559999999999945e+02
-4.057788944723618174e-01,3.348629999999999995e+02
-3.962311557788944505e-01,3.435280000000000200e+02
-3.866834170854271946e-01,3.569680000000000177e+02
-3.771356783919598277e-01,3.741730000000000018e+02
-3.675879396984924607e-01,3.914089999999999918e+02
-3.580402010050250938e-01,3.971250000000000000e+02
-3.484924623115578379e-01,4.091829999999999927e+02
-3.389447236180904710e-01,4.194759999999999991e+02
-3.293969849246231041e-01,4.304039999999999964e+02
-3.198492462311558482e-01,4.413860000000000241e+02
-3.103015075376884813e-01,4.536279999999999859e+02
-3.007537688442211143e-01,4.695910000000000082e+02
-2.912060301507537474e-01,4.864030000000000200e+02
-2.816582914572864915e-01,4.976890000000000214e+02
-2.721105527638191246e-01,5.121200000000000045e+02
-2.625628140703517577e-01,5.387160000000000082e+02
-2.530150753768845018e-01,5.540270000000000437e+02
-2.434673366834171349e-01,5.686040000000000418e+02
-2.339195979899497679e-01,5.762219999999999800e+02
-2.243718592964824010e-01,5.926730000000000018e+02
-2.148241206030151451e-01,5.995589999999999691e+02
-2.052763819095477782e-01,6.106779999999999973e+02
-1.957286432160804113e-01,6.250380000000000109e+02
-1.861809045226130443e-01,6.363799999999999955e+02
-1.766331658291457885e-01,6.531530000000000200e+02
-1.670854271356784215e-01,6.538819999999999482e+02
-1.575376884422110546e-01,6.692050000000000409e+02
-1.479899497487437987e-01,6.765049999999999955e+02
-1.384422110552764318e-01,6.811889999999999645e+02
-1.288944723618090649e-01,6.902530000000000427e+02
-1.193467336683416979e-01,6.958999999999999773e+02
-1.097989949748744420e-01,7.074320000000000164e+02
-1.002512562814070751e-01,7.083319999999999936e+02
-9.070351758793970820e-02,7.160570000000000164e+02
-8.115577889447245230e-02,7.207549999999999955e+02
-7.160804020100508538e-02,7.307630000000000337e+02
-6.206030150753771846e-02,7.421349999999999909e+02
-5.251256281407035154e-02,7.443719999999999573e+02
-4.296482412060309564e-02,7.476760000000000446e+02
-3.341708542713572871e-02,7.547640000000000100e+02
-2.386934673366836179e-02,7.486230000000000473e+02
-1.432160804020110589e-02,7.443279999999999745e+02
-4.773869346733738972e-03,7.511860000000000355e+02
4.773869346733627950e-03,7.484800000000000182e+02
1.432160804020099487e-02,7.480449999999999591e+02
2.386934673366825077e-02,7.404239999999999782e+02
3.341708542713561769e-02,7.341839999999999691e+02
4.296482412060298461e-02,7.337129999999999654e+02
5.251256281407035154e-02,7.336150000000000091e+02
6.206030150753760743e-02,7.243120000000000118e+02
7.160804020100486333e-02,7.198369999999999891e+02
8.115577889447234128e-02,7.130860000000000127e+02
9.070351758793959718e-02,6.993550000000000182e+02
1.002512562814070751e-01,6.945480000000000018e+02
1.097989949748743310e-01,6.972949999999999591e+02
1.193467336683415869e-01,6.910320000000000391e+02
1.288944723618090649e-01,6.794030000000000200e+02
1.384422110552763208e-01,6.615779999999999745e+02
1.479899497487435767e-01,6.536240000000000236e+02
1.575376884422110546e-01,6.449690000000000509e+02
1.670854271356783105e-01,6.392849999999999682e+02
1.766331658291455664e-01,6.242010000000000218e+02
1.861809045226130443e-01,6.171739999999999782e+02
1.957286432160803002e-01,6.078680000000000518e+02
2.052763819095475561e-01,5.971250000000000000e+02
2.148241206030150341e-01,5.880489999999999782e+02
2.243718592964822900e-01,5.808540000000000418e+02
2.339195979899497679e-01,5.703060000000000400e+02
2.434673366834170238e-01,5.551620000000000346e+02
2.530150753768842797e-01,5.410739999999999554e+02
2.625628140703517577e-01,5.295720000000000027e+02
2.721105527638190136e-01,5.201079999999999472e+02
2.816582914572862695e-01,5.090749999999999886e+02
2.912060301507537474e-01,4.965289999999999964e+02
3.007537688442210033e-01,4.868720000000000141e+02
3.103015075376882592e-01,4.714150000000000205e+02
3.198492462311557372e-01,4.635330000000000155e+02
3.293969849246229931e-01,4.469239999999999782e+02
3.389447236180904710e-01,4.331669999999999732e+02
3.484924623115577269e-01,4.221890000000000214e+02
3.580402010050249828e-01,4.074549999999999841e+02
3.675879396984924607e-01,3.982479999999999905e+02
3.771356783919597166e-01,3.875529999999999973e+02
3.866834170854269725e-01,3.725190000000000055e+02
3.962311557788944505e-01,3.541139999999999759e+02
4.057788944723617064e-01,3.450310000000000059e+02
4.153266331658289623e-01,3.279479999999999791e+02
4.248743718592964402e-01,3.139230000000000018e+02
4.344221105527636961e-01,3.037749999999999773e+02
4.439698492462309520e-01,2.955889999999999986e+02
4.535175879396984300e-01,2.845910000000000082e+02
4.630653266331656859e-01,2.704569999999999936e+02
4.726130653266331638e-01,2.563059999999999832e+02
4.821608040201004197e-01,2.442659999999999911e+02
4.917085427135676756e-01,2.387290000000000134e+02
5.012562814070351536e-01,2.289019999999999868e+02
5.108040201005024095e-01,2.215709999999999980e+02
5.203517587939696654e-01,2.110370000000000061e+02
5.298994974874371433e-01,1.976169999999999902e+02
5.394472361809043992e-01,1.857820000000000107e+02
